V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
62.473,9.029,53.952,45.770,43.731,2.512,113,29.403,80.609,63.724,71,158,158,158,1
98.373,56.367,-1,22.473,68.861,563,139,114.136,129.245,33.859,88,190,155,119,1
787,93.203,109.460,105.912,551,3.258,127,11.412,300.882,326,80,145,120,72,1
4.590,76.386,23.087,46.211,3.213,2.276,140,80.428,71.589,533,88,154,137,109,1
84.631,30.822,25.158,12.022,59.242,2.167,143,43.401,22.692,88.707,90,193,193,193,1
169.281,33.454,56.726,24.891,118.497,1.588,133,25.615,92.582,167.743,84,210,169,138,1
52.783,22.091,43.572,43.604,36.948,1.750,120,36.052,92.582,38.135,76,164,147,110,1
1.307,19.877,113.066,51.116,915,2.734,121,11.814,175.732,554,76,129,110,70,1
37.199,2.042,28.813,36.207,26.039,1.939,104,3.499,66.845,35.856,66,155,139,112,1
19.215,1.999,14.998,146.361,13.451,352,113,83.499,165.535,946,71,126,123,80,1
106.204,13.167,23.978,52.909,74.343,3.262,107,7.023,90.285,102.212,67,182,161,129,1
123.495,6.262,30.771,44.554,86.447,4.298,106,4.932,82.166,122.282,67,192,167,145,1
92.196,10.974,7.937,36.261,64.537,3.382,107,37.928,49.399,63.423,67,189,172,134,1
96.468,18.985,27.446,13.964,67.528,2.887,134,8.167,55.747,95.836,84,201,200,179,1
84.388,6.174,29.870,27.385,59.072,2.933,113,4.316,62.511,83.923,71,189,190,157,1
90.816,10.583,26.682,25.004,63.571,6.215,113,4.728,64.457,90.115,71,191,192,161,1
154.513,8.922,65.470,22.686,108.159,3.029,122,6.698,94.390,153.532,77,1.990.000,199,166,1
4,86.233,51.233,45.202,3,13.936,141,130.943,65.654,11,89,123,126,122,1
324.605,30.715,99.688,18.202,227.224,13.936,134,55.037,126.297,11,84,205,199,136,1
29.299,83.695,13.569,23.892,20.509,73,154,10.036,42.771,97.721,97,123,186,170,1
999,67.159,7.298,72.632,699,2.440,128,36.718,78.274,35.536,81,114,127,110,1
0,81.081,5.990,60.249,699,3.208,137,69.438,66.742,14.348,86,129,127,122,1
30.656,5.463,66.749,46.358,21.459,1.302,112,4.733,112.955,32.840,71,137,127,109,1
103,43.868,43.642,36.547,72,10.240,132,24.461,109.939,32.840,83,124,129,54,1
24.795,13.671,41.928,60.210,17.357,9.924,109,14.288,106.236,30.004,69,107,128,96,1
2.504,18.886,63.894,52.278,1.753,12.966,117,10.892,137.812,1.824,74,116,111,56,1
24.610,58.382,49.801,4.614,17.227,129,153,4.961,112.944,19.631,96,146,180,93,1
16.252,66.434,64.011,3.831,11.376,129,153,7.264,130.011,13.253,96,158,165,98,1
30.572,81.781,330.723,274.396,21.400,68.960,115,27.599,739.825,19.008,72,99,121,58,1
22.945,137.843,277.198,285.418,16.062,63.028,119,117.961,653.484,14.987,75,108,116,74,1
533.485,133.327,9.999,52.239,373.440,57.382,150,93.757,115.190,577.485,95,192,195,191,1
206.385,128.372,106.437,242.887,144.470,102.351,118,135.153,428.703,222.576,74,131,135,116,1
222.277,131.002,156.629,193.827,155.594,82.697,123,224.041,304.672,257.719,77,136,142,130,1
178.839,19.894,7.218,62.868,125.187,38.381,106,7.088,107.009,193.103,67,162,167,156,1
246.524,42.702,83.065,65.584,172.567,42.125,124,17.567,195.085,267.348,78,172,169,148,1
238.344,42.934,62.705,111.844,166.841,24.173,114,21.051,200.552,258.397,72,165,168,143,1
24.600,178.759,119.429,61.440,17.220,95.772,146,600,476.998,2.402,92,136,125,32,1
124.465,13.035,119.429,30.569,87.126,2,121,3.246,105.422,124.492,76,187,192,163,1
158.968,10.738,21.185,49.546,111.278,22.883,106,18.449,84.005,160.866,67,183,183,183,1
125.251,8.844,10.498,20.384,87.676,13.673,115,11.437,39.575,127.638,72,196,196,196,1
10.214,-2,26.258,103.417,7.150,4.775,98,10.223,134.208,13.069,62,96,107,90,1
152.826,7.050,84.309,11.015,106.978,4.775,128,5.179,97.507,152.514,81,199,191,183,1
164.458,4.411,15.247,61.168,115.121,56,94,5.639,75.044,164.657,59,197,202,196,1
154.198,4.750,37.206,47.787,107.939,239,106,3.684,86.418,154.078,67,187,204,192,1
105.145,6.519,6.831,26.104,73.602,9.301,105,6.135,43.597,104.168,66,196,202,189,1
585.013,915.161,65.827,421.789,409.509,9.778,147,557.763,43.597,948.705,93,1.680.000,167,157,1
79.364,6.511,42.941,91.314,55.555,8.970,99,2.566,146.885,79.649,62,121,152,129,1
3.365,14.226,43.842,73.300,2.356,89.147,107,4.626,217.342,1.912,67,65,83,43,1
1.152,28.865,64.199,93.870,806,34.634,112,613,222.107,1.912,71,113,95,44,1
4.535,35.029,86.906,84.815,3.175,14.335,117,18.763,202.980,3.877,74,115,113,63,1
2.424,2.970,8.556,20.107,1.697,90.893,102,332,123.044,1.574,64,39,43,20,1
11.023,16.839,41.299,42.339,7.716,5.375,117,2.871,110.471,3.533,74,127,126,59,1
155.691,8.778,26.496,46.300,108.984,4.595,107,442,86.773,154.645,67,188,202,148,1
52.453,636,9.374,44.073,36.717,989,89,625,54.609,52.291,56,157,165,126,1
26.503,32.865,24.751,52.906,18.552,88.595,120,39.626,161.789,24.205,76,92,90,82,1
580,6.832,24.509,73.410,406,103.469,98,20.681,185.955,2.164,62,49,68,55,1
8.410,30.737,45.382,53.451,5.887,81.840,121,13.921,198.367,7.532,76,81,90,63,1
2.683,6.002,20.104,77.175,1.878,13.461,95,1.302,115.813,2.310,60,72,94,58,1
69.632,1.343,10.129,47.231,48.742,22.193,90,1.041,79.712,69.775,57,159,156,137,1
10.616,47.614,76.916,81.811,7.431,66.097,121,37.444,237.885,7.725,76,89,106,80,1
25.520,46.917,45.867,45.367,17.864,119.383,130,7.391,262.168,13.495,82,76,104,68,1
12.631,47.801,65.379,43.823,8.842,113.420,131,6.953,270.986,5.115,83,72,101,64,1
24.851,35.826,39.542,45.099,17.396,137.736,126,8.046,264.220,10.788,79,71,94,57,1
2.310,19.332,39.542,99.666,1.617,2.866,115,6.174,274.799,2.081,72,86,126,79,1
20.866,20.620,55.200,164.315,14.606,22.053,100,2.290,268.053,12.711,63,86,113,54,1
37.936,29.518,45.523,88.958,26.555,81.119,111,4.392,259.469,19.193,70,90,117,50,1
30.176,19.953,45.343,161.458,21.123,26.124,98,4.373,257.678,21.003,62,86,114,70,1
50.605,36.487,39.523,75.358,35.424,81.081,117,15.020,228.301,39.733,74,101,119,83,1
1,13.546,77.510,166.539,1,7.459,100,7.120,228.301,13.913,63,84,111,82,1
18.574,28.130,48.603,168.290,13.002,19.457,101,1.737,272.831,8.486,64,77,114,56,1
26.888,18.980,70.950,147.380,18.822,18.856,102,1.648,265.006,16.400,64,90,123,67,1
19.184,15.856,36.983,175.812,13.429,35.219,95,2.100,268.968,11.986,60,76,105,45,1
18.289,6.355,15.279,193.963,12.802,49.168,86,1.880,266.377,14.797,54,56,94,60,1
30.255,19.304,29.382,142.091,21.179,62.022,97,8.748,249.756,24.550,61,77,103,67,1
22.954,15.041,54.685,157.699,16.068,32.675,98,4.092,261.300,17.662,62,84,111,60,1
37.164,39.891,39.487,56.294,26.015,110.218,123,8.649,252.864,21.541,77,81,111,74,1
20.648,48.918,69.426,58.676,14.454,85.386,127,14.823,262.054,6.177,80,89,111,68,1
45.213,38.913,35.209,56.829,31.649,106.890,123,22.786,231.110,29.158,77,96,107,74,1
24.018,5.645,24.100,200.377,16.813,28.914,87,2.436,258.984,21.634,55,65,103,68,1
32.244,36.888,50.843,112.229,22.571,50.850,111,18.983,238.954,25.117,70,96,116,76,1
569,14.658,21.897,7.860,398,119.066,137,7.099,156.206,745,86,39,47,44,1
22.258,34.462,38.269,43.012,15.581,92.259,126,16.264,198.685,15.311,79,127,84,59,1
4.614,51.975,86.468,76.508,3.230,49.555,124,14.046,253.077,1.997,78,123,100,59,1
445,7.805,84.702,27.692,312,906,121,43.755,77.764,31,76,82,126,100,1
4.450,57.386,50.762,62.796,3.115,50.806,128,4.755,221.103,342,81,104,110,64,1
1.474,18.082,54.661,50.205,1.032,98.878,116,4.467,218.076,757,73,66,83,59,1
1.116,15.452,41.971,51.083,781,108.458,113,961,216.420,699,71,66,76,42,1
5.368,12.219,16.287,40.328,3.758,46.073,109,4.339,113.377,2.559,69,85,78,43,1
468,40.256,33.641,19.150,328,26.335,141,1.106,118.736,8,89,89,128,66,1
5.868,10.161,7.070,4.389,4.108,93.637,143,4.629,109.725,6.771,90,36,42,36,1
4.561,34.881,87.122,84.531,3.193,14.525,117,18.805,203.000,3.815,74,115,113,63,1
270,5.087,20.699,9.130,189,106.764,124,2.080,139.704,166,78,25,35,25,1
2.641,17.258,19.520,48.859,1.849,31.997,111,2.310,116.728,1.237,70,86,90,70,1
3.245,20.289,49.757,121.232,2.272,29.357,103,4.812,216.727,2.341,65,89,94,75,1
10.511,16.121,9.237,17.216,7.358,67.615,128,17.664,91.368,11.668,81,87,74,59,1
544,15.760,70.706,83.703,381,59.547,110,7.881,222.366,13,69,88,84,48,1
4.153,23.146,42.784,55.579,2.907,101.698,116,518,226.511,331,73,77,73,33,1
236,64.857,73.227,87.164,165,716,125,69.199,156.739,262,79,122,121,102,1
99.771,32.583,53.655,25.432,69.840,13.599,133,34.744,112.324,77.972,84,182,162,126,1
15.867,97.399,88.017,18.705,11.107,7.952,149,2.534,216.135,9.271,94,171,143,73,1
378,4.968,58.334,52.721,265,5.149,109,600,120.766,184,69,95,110,62,1
65.885,2.462,19.901,31.501,46.120,526,103,1.269,53.903,65.103,65,189,175,138,1
149,12.772,128.169,74.659,104,8.711,115,97,224.333,30,72,92,122,57,1
6.519,31.061,44.927,13.624,4.563,24.144,139,827,118.925,523,88,134,118,63,1
4.395,14.931,13.907,4.302,3.077,99.740,146,1.587,133.577,2.111,92,42,52,33,1
4.896,6.785,7.811,14.394,3.427,16.622,116,723,47.053,2.732,73,70,108,81,0
4.128,2.541,18.593,25.341,2.890,35.607,105,508,81.615,4.087,66,63,86,46,0
8.781,999,30.604,30.041,6.147,18.125,106,562,79.116,8.872,67,88,109,70,0
7.432,1.406,23.831,27.660,5.202,28.221,105,356,80.758,7.436,66,75,101,54,0
9,60,4.784,2.895,6,1.852,111,47,9.545,8,70,70,107,46,0
17.175,32.109,62.340,95.573,12.023,75.857,113,25.066,244.684,13.304,71,86,101,66,0
37.034,33.523,42.877,71.908,25.924,97.712,117,19.143,233.410,30.501,74,87,109,72,0
36.454,32.958,44.156,80.096,25.518,89.390,115,13.988,238.435,30.631,72,90,112,70,0
18.540,20.008,38.225,179.109,12.978,27.172,96,5.213,266.690,11.151,60,78,106,59,0
23.098,31.192,50.738,101.843,16.169,76.183,110,18.257,247.512,17.285,69,82,106,64,0
7.729,54.213,91.449,72.094,5.410,57.569,125,10.887,269.481,2.686,79,91,117,72,0
23.843,33.721,39.041,38.358,16.690,148.091,127,3.804,266.396,12.854,80,64,92,61,0
21.167,33.721,42.644,174.838,14.817,22.776,97,4.432,266.070,12.552,61,76,111,65,0
27.336,41.626,48.443,72.997,19.135,92.652,120,15.949,252.166,14.939,76,85,108,69,0
34.985,34.856,45.894,90.891,24.490,76.428,113,12.088,246.705,24.261,71,88,115,70,0
28.075,22.752,30.294,162.040,19.653,39.893,97,1.985,266.181,14.888,61,77,111,62,0
18.767,41.638,73.842,65.837,13.137,82.970,123,8.379,263.034,11.641,77,86,111,66,0
27.262,33.978,40.385,63.734,19.083,117.695,119,6.599,261.629,14.826,75,79,100,55,0
13.635,53.448,61.233,73.708,9.545,81.030,124,3.093,276.837,3.124,78,82,113,65,0
31.562,26.309,28.297,90.983,22.093,105.903,107,5.671,258.585,18.798,67,74,101,64,0
3.143,37.545,129.056,56.053,2.200,57.257,125,3.891,276.965,2.198,79,86,117,72,0
6.626,62.306,66.044,44.834,4.638,103.244,135,2.816,278.304,1.934,85,74,106,67,0
